rawName,canonicalName,confidenceScore,algorithm,timestamp
OpenAI,OpenAI,1.0,Deterministic Seed Exact,2026-08-16T15:06:54.000531Z
Anthropic,Anthropic,1.0,Deterministic Seed Exact,2026-08-16T15:06:54.000629Z
Cohere,Cohere,1.0,Deterministic Seed Exact,2026-08-16T15:06:54.000662Z
Mistral AI,Mistral AI,1.0,Deterministic Seed Exact,2026-08-16T15:06:54.000683Z
Stability AI,Stability AI,1.0,Deterministic Seed Exact,2026-08-16T15:06:54.000699Z
Hugging Face,Hugging Face,1.0,Deterministic Seed Exact,2026-08-16T15:06:54.000713Z
"Midjourney, Inc.",Midjourney,1.0,Deterministic Seed Exact,2026-08-16T15:06:54.000730Z
Runway,Runway,1.0,Deterministic Seed Exact,2026-08-16T15:06:54.000742Z
Scale AI,Scale AI,1.0,Deterministic Seed Exact,2026-08-16T15:06:54.000756Z
Perplexity AI,Perplexity AI,1.0,Deterministic Seed Exact,2026-08-16T15:06:54.000770Z
GLEAN AI,Glean,0.88,Fuzzy Token Match,2026-08-16T15:06:54.000790Z
Adept AI,Adept AI,1.0,Deterministic Seed Exact,2026-08-16T15:06:54.000804Z
Character.ai PBC,Character.ai Pbc,0.75,Normalized Capitalization,2026-08-16T15:06:54.000888Z
"Together AI, Inc.",Together AI,1.0,Deterministic Seed Exact,2026-08-16T15:06:54.000915Z
Anyscale,Anyscale,1.0,Deterministic Seed Exact,2026-08-16T15:06:54.001019Z
Inflection AI,Inflection AI,1.0,Deterministic Seed Exact,2026-08-16T15:06:54.001045Z
Pinecone,Pinecone,1.0,Deterministic Seed Exact,2026-08-16T15:06:54.001059Z
Weaviate,Weaviate,1.0,Deterministic Seed Exact,2026-08-16T15:06:54.001072Z
Qdrant,Qdrant,1.0,Deterministic Seed Exact,2026-08-16T15:06:54.001088Z
Chroma,Chroma,1.0,Deterministic Seed Exact,2026-08-16T15:06:54.001099Z
"LangChain, Inc.",LangChain,1.0,Deterministic Seed Exact,2026-08-16T15:06:54.001115Z
LLAMAINDEX AI,LlamaIndex,0.88,Fuzzy Token Match,2026-08-16T15:06:54.001134Z
Weights & Biases,Weights & Biases,0.75,Normalized Capitalization,2026-08-16T15:06:54.001162Z
Replicate,Replicate,1.0,Deterministic Seed Exact,2026-08-16T15:06:54.001175Z
EleutherAI,EleutherAI,1.0,Deterministic Seed Exact,2026-08-16T15:06:54.001187Z
Groq PBC,Groq,1.0,Deterministic Seed Exact,2026-08-16T15:06:54.001202Z
SambaNova,SambaNova,1.0,Deterministic Seed Exact,2026-08-16T15:06:54.001215Z
"Cerebras Systems, Inc.",Cerebras Systems,0.88,Fuzzy Token Match,2026-08-16T15:06:54.001237Z
Etched,Etched,1.0,Deterministic Seed Exact,2026-08-16T15:06:54.001250Z
Cognition AI,Cognition AI,1.0,Deterministic Seed Exact,2026-08-16T15:06:54.001263Z
Harvey AI,Harvey AI,1.0,Deterministic Seed Exact,2026-08-16T15:06:54.001276Z
Synthesia,Synthesia,1.0,Deterministic Seed Exact,2026-08-16T15:06:54.001289Z
ELEVENLABS AI,ElevenLabs,0.88,Fuzzy Token Match,2026-08-16T15:06:54.001309Z
OpenAI Labs #34,OpenAI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.001331Z
"Anthropic, Inc. Labs #35",Anthropic,0.88,Fuzzy Token Match,2026-08-16T15:06:54.001352Z
Cohere Labs #36,Cohere,0.88,Fuzzy Token Match,2026-08-16T15:06:54.001369Z
Mistral AI Labs #37,Mistral AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.001386Z
Stability AI Labs #38,Stability AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.001407Z
Hugging Face PBC Labs #39,Hugging Face,0.88,Fuzzy Token Match,2026-08-16T15:06:54.001426Z
Midjourney Labs #40,Midjourney,0.88,Fuzzy Token Match,2026-08-16T15:06:54.001442Z
Runway Labs #41,Runway,0.88,Fuzzy Token Match,2026-08-16T15:06:54.001458Z
"Scale AI, Inc. Labs #42",Scale AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.001481Z
Perplexity AI Labs #43,Perplexity AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.001501Z
GLEAN AI Labs #44,Glean,0.88,Fuzzy Token Match,2026-08-16T15:06:54.001520Z
Adept AI Labs #45,Adept AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.001538Z
Character.ai Labs #46,Character.ai Labs #46,0.75,Normalized Capitalization,2026-08-16T15:06:54.001566Z
Together AI Labs #47,Together AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.001587Z
Anyscale Labs #48,Scale AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.001604Z
"Inflection AI, Inc. Labs #49",Inflection AI,0.88,Fuzzy Token Match,2026-08-16T15:06:54.001630Z
Pinecone Labs #50,Pinecone,0.88,Fuzzy Token Match,2026-08-16T15:06:54.001652Z
