schemaVersion,recordType,source.name,source.url,content.productName,content.startupName,content.pricingModel,collectedAt
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://openai.com/products/1,ChatGPT,OpenAI,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://anthropic.com/products/2,Claude 3 Opus,Anthropic,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://cohere.com/products/3,Rerank,Cohere,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://mistral.ai/products/4,Le Chat,Mistral AI,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://stability.ai/products/5,Stable Diffusion 3,Stability AI,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://huggingface.co/products/6,Hugging Face Hub,Hugging Face,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://midjourney.com/products/7,Midjourney v6,Midjourney,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://runwayml.com/products/8,Frame Interpolation,Runway,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://scale.com/products/9,Scale GenAI Platform,Scale AI,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://perplexity.ai/products/10,Perplexity Pro,Perplexity AI,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://glean.com/products/11,Glean Assistant,Glean,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://adept.ai/products/12,Adept Workstation,Adept AI,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://character.ai/products/13,Character c.ai,Character.ai,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://together.ai/products/14,Together Fine-Tuning,Together AI,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://anyscale.com/products/15,Anyscale Ray Platform,Anyscale,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://inflection.ai/products/16,Inflection Engine,Inflection AI,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://pinecone.io/products/17,Pinecone Serverless,Pinecone,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://weaviate.io/products/18,Hybrid Search Engine,Weaviate,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://qdrant.tech/products/19,Qdrant Managed Cloud,Qdrant,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://trychroma.com/products/20,Chroma Cloud,Chroma,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://langchain.com/products/21,LangSmith Platform,LangChain,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://llamaindex.ai/products/22,LlamaCloud,LlamaIndex,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://wandb.ai/products/23,W&B Prompts,Weights & Biases,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://replicate.com/products/24,Replicate Model Registry,Replicate,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://eleuther.ai/products/25,GPT-NeoX,EleutherAI,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://groq.com/products/26,GroqCloud API,Groq,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://sambanova.ai/products/27,SambaNova SN40L Chip,SambaNova,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://cerebras.ai/products/28,Wafer-Scale Engine 3,Cerebras Systems,FREE,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://etched.com/products/29,Sohu Transformer ASIC,Etched,FREEMIUM,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://cognition-labs.com/products/30,Devin Enterprise,Cognition AI,PAID,2026-08-16T15:06:53.999699+00:00
1.0,PRODUCT,ProductHunt / AI Tools Registry,https://harvey.ai/products/31,Harvey Legal AI,Harvey AI,ENTERPRISE,2026-08-16T15:06:53.999699+00:00
