schemaVersion,recordType,source.name,source.url,content.entityName,content.data.employeeCount,collectedAt
1.0,STARTUP,FrontierAtlas Directory Scraper,https://openai.com/about,OpenAI,1489,2026-08-16T15:06:53.999699+00:00
1.0,STARTUP,FrontierAtlas Directory Scraper,https://anthropic.com/about,Anthropic,846,2026-08-16T15:06:53.999699+00:00
1.0,STARTUP,FrontierAtlas Directory Scraper,https://cohere.com/about,Cohere,460,2026-08-16T15:06:53.999699+00:00
1.0,STARTUP,FrontierAtlas Directory Scraper,https://mistral.ai/about,Mistral AI,212,2026-08-16T15:06:53.999699+00:00
1.0,STARTUP,FrontierAtlas Directory Scraper,https://stability.ai/about,Stability AI,202,2026-08-16T15:06:53.999699+00:00
1.0,STARTUP,FrontierAtlas Directory Scraper,https://huggingface.co/about,Hugging Face,488,2026-08-16T15:06:53.999699+00:00
1.0,STARTUP,FrontierAtlas Directory Scraper,https://midjourney.com/about,Midjourney,133,2026-08-16T15:06:53.999699+00:00
1.0,STARTUP,FrontierAtlas Directory Scraper,https://runwayml.com/about,Runway,249,2026-08-16T15:06:53.999699+00:00
1.0,STARTUP,FrontierAtlas Directory Scraper,https://scale.com/about,Scale AI,1303,2026-08-16T15:06:53.999699+00:00
1.0,STARTUP,FrontierAtlas Directory Scraper,https://perplexity.ai/about,Perplexity AI,169,2026-08-16T15:06:53.999699+00:00
1.0,STARTUP,FrontierAtlas Directory Scraper,https://glean.com/about,Glean,383,2026-08-16T15:06:53.999699+00:00
1.0,STARTUP,FrontierAtlas Directory Scraper,https://adept.ai/about,Adept AI,198,2026-08-16T15:06:53.999699+00:00
1.0,STARTUP,FrontierAtlas Directory Scraper,https://character.ai/about,Character.ai Pbc,161,2026-08-16T15:06:53.999699+00:00
1.0,STARTUP,FrontierAtlas Directory Scraper,https://together.ai/about,Together AI,267,2026-08-16T15:06:53.999699+00:00
1.0,STARTUP,FrontierAtlas Directory Scraper,https://anyscale.com/about,Anyscale,357,2026-08-16T15:06:53.999699+00:00
1.0,STARTUP,FrontierAtlas Directory Scraper,https://inflection.ai/about,Inflection AI,246,2026-08-16T15:06:53.999699+00:00
1.0,STARTUP,FrontierAtlas Directory Scraper,https://pinecone.io/about,Pinecone,224,2026-08-16T15:06:53.999699+00:00
1.0,STARTUP,FrontierAtlas Directory Scraper,https://weaviate.io/about,Weaviate,118,2026-08-16T15:06:53.999699+00:00
1.0,STARTUP,FrontierAtlas Directory Scraper,https://qdrant.tech/about,Qdrant,153,2026-08-16T15:06:53.999699+00:00
